1 5.0000000000e-01 7.6620486683e-01 -1.5318151738e-01 1.5014610933e+00 -1.7540244168e-01
2 2.5000000000e-01 3.3544446182e-01 -9.5315943183e-02 1.2699987965e+00 -4.4958982033e-02
3 1.2500000000e-01 1.5272450203e-01 -2.9995457765e-02 7.4743491315e-01 -1.1310187451e-02
4 6.2500000000e-02 7.2280891156e-02 -8.1627197177e-03 3.9811110440e-01 -2.8319679459e-03
5 3.1250000000e-02 3.5082580420e-02 -2.1157303155e-03 2.0460744353e-01 -7.0826859341e-04
6 1.5625000000e-02 1.7272398170e-02 -5.3778408003e-04 1.0361888446e-01 -1.7708444140e-04
7 7.8125000000e-03 8.5684399017e-03 -1.3551836669e-04 5.2128873151e-02 -4.4272192022e-05
8 3.9062500000e-03 4.2672142133e-03 -3.4011475172e-05 2.6143108922e-02 -1.1068122981e-05
9 1.9531250000e-03 2.1293474974e-03 -8.5192183905e-06 1.3091073450e-02 -2.7670556983e-06
10 9.7656250000e-04 1.0636078288e-03 -2.1318397716e-06 6.5503977440e-03 -6.9183617146e-07
11 4.8828125000e-04 5.3153730750e-04 -5.3321382887e-07 3.2764118133e-03 -1.7332232805e-07
12 2.4414062500e-04 2.6570198606e-04 -1.3333538385e-07 1.6385097025e-03 -4.4334151461e-08
13 1.2207031250e-04 1.3283432390e-04 -3.3338260375e-08 8.1933326700e-04 -1.4531829073e-08
14 6.1035156250e-05 6.6412993597e-05 -8.3367057702e-09 4.0970779636e-04 -4.4334151461e-08
15 3.0517578125e-05 3.3205453924e-05 -2.0857486849e-09 2.0487643459e-04 -4.4334151461e-08
16 1.5258789062e-05 1.6602468072e-05 -5.1777981902e-10 1.0211802699e-04 7.4875138090e-08
17 7.6293945312e-06 8.3011606831e-06 -1.4670598070e-10 5.3480636857e-05 -1.8324734947e-06
18 3.8146972656e-06 4.1505615582e-06 -3.7566616484e-11 2.4870407365e-05 -5.6471707603e-06
19 1.9073486328e-06 2.0752838237e-06 6.0891292009e-12 1.9822237709e-06 1.9822237709e-06
20 9.5367431641e-07 1.0375576449e-06 -1.6853385354e-10 1.8508769252e-04 -1.8112324498e-04
21 4.7683715820e-07 5.1869455553e-07 -1.6853385354e-10 1.8508769252e-04 -3.0319355748e-04
22 2.3841857910e-07 2.5908838786e-07 -5.1777981902e-10 1.6499314425e-03 -2.2563185575e-03
23 1.1920928955e-07 1.2963454998e-07 1.8071211194e-10 -4.2094435575e-03 -4.2094435575e-03
